id,category,year,rating,genre,certification,movies
Murder in the First,movie,1995,7.3,"Drama, Thriller",R,
Jennifer Aniston,actor,,,,,1
Footloose,movie,2011,5.8,"Comedy, Drama, Music",PG-13,
Elephant White,movie,2011,5.0,"Action, Crime, Thriller",R,
Christian Slater,actor,,,,,1
Trapped,movie,2002,6.1,"Action, Crime, Drama",R,
Emmy Rossum,actor,,,,,1
Gary Oldman,actor,,,,,1
Sleepers,movie,1996,7.5,"Crime, Drama, Thriller",R,
James Norton,actor,,,,,1
Picture Perfect,movie,1997,5.5,"Comedy, Drama, Romance",PG-13,
Mary-Louise Parker,actor,,,,,1
You Should Have Left,movie,2020,5.4,"Horror, Thriller",R,
Jennifer Lawrence,actor,,,,,1
Elliot Page,actor,,,,,2
Elisabeth Shue,actor,,,,,1
Avery Tiiu Essex,actor,,,,,1
Robert De Niro,actor,,,,,1
Josh Brolin,actor,,,,,1
Illeana Douglas,actor,,,,,1
Where the Truth Lies,movie,2005,6.4,"Crime, Mystery, Thriller",R,
Michael Gross,actor,,,,,1
Charlize Theron,actor,,,,,1
Jay Mohr,actor,,,,,1
Luke Wilson,actor,,,,,1
Diner,movie,1982,7.1,"Comedy, Drama",R,
Bob Hoskins,actor,,,,,1
Colin Firth,actor,,,,,1
Kelly Preston,actor,,,,,1
Sam Rockwell,actor,,,,,1
Alison Lohman,actor,,,,,1
Gary Sinise,actor,,,,,1
Andie MacDowell,actor,,,,,1
Balto,movie,1995,7.1,"Animation, Adventure, Drama",G,
Dianne Wiest,actor,,,,,1
Fred Ward,actor,,,,,1
Frost/Nixon,movie,2008,7.7,"Biography, Drama, History",R,
Bridget Fonda,actor,,,,,1
Tim Robbins,actor,,,,,1
Embeth Davidtz,actor,,,,,1
Meryl Streep,actor,,,,,1
Elizabeth McGovern,actor,,,,,1
A Few Good Men,movie,1992,7.7,"Drama, Thriller",R,
The River Wild,movie,1994,6.5,"Adventure, Crime, Thriller",PG-13,
Olympia Dukakis,actor,,,,,1
Rainn Wilson,actor,,,,,1
Alec Baldwin,actor,,,,,1
Tom Cruise,actor,,,,,1
Ryan Reynolds,actor,,,,,1
Courtney Love,actor,,,,,1
Geetanjali Thapa,actor,,,,,1
Frank Langella,actor,,,,,1
Neve Campbell,actor,,,,,1
Kevin Bacon,actor,,,,,29
Liv Tyler,actor,,,,,1
David Strathairn,actor,,,,,1
Diane Lane,actor,,,,,1
Bill Paxton,actor,,,,,1
Shea Whigham,actor,,,,,1
Mickey Rourke,actor,,,,,1
Julianne Hough,actor,,,,,1
Zachary David Cope,actor,,,,,1
Michael Fassbender,actor,,,,,1
Sarah Michelle Gellar,actor,,,,,1
Wild Things,movie,1998,6.6,"Crime, Drama, Mystery",R,
Jason Patric,actor,,,,,1
James Ray,actor,,,,,1
Rajkummar Rao,actor,,,,,1
Amanda Seyfried,actor,,,,,1
She's Having a Baby,movie,1988,5.9,"Comedy, Drama, Romance",PG-13,
X: First Class,movie,2011,7.7,"Action, Sci-Fi",PG-13,
Mystic River,movie,2003,7.9,"Crime, Drama, Mystery",R,
Kyra Sedgwick,actor,,,,,1
William Baldwin,actor,,,,,1
John Lithgow,actor,,,,,1
Daniel Stern,actor,,,,,1
Apollo 13,movie,1995,7.7,"Adventure, Drama, History",PG,
Hays Wellford,actor,,,,,1
David Alan Grier,actor,,,,,1
Andy Garcia,actor,,,,,1
Kim Dickens,actor,,,,,1
Michael Sheen,actor,,,,,1
James Freedson-Jackson,actor,,,,,1
Yasiin Bey,actor,,,,,1
Demi Moore,actor,,,,,1
R.I.P.D.,movie,2013,5.6,"Action, Adventure, Comedy",PG-13,
Stir of Echoes,movie,1999,6.9,"Horror, Mystery, Thriller",R,
The Woodsman,movie,2004,7.2,Drama,R,
Kenny Wormald,actor,,,,,1
Djimon Hounsou,actor,,,,,1
Hollow Man,movie,2000,5.8,"Action, Horror, Sci-Fi",R,
Denise Richards,actor,,,,,1
David Hayman,actor,,,,,1
Tremors,movie,1990,7.1,"Comedy, Horror",PG-13,
Sean Penn,actor,,,,,1
Finn Carter,actor,,,,,1
Death Sentence,movie,2007,6.7,"Action, Crime, Drama",R,
Kathryn Erbe,actor,,,,,1
Julia Roberts,actor,,,,,1
Nina Dobrev,actor,,,,,1
Sahajak Boonthanakit,actor,,,,,1
Cop Car,movie,2015,6.3,"Crime, Thriller",R,
Flatliners,movie,2017,5.2,"Drama, Horror, Mystery",PG-13,
Shiladitya Sen,actor,,,,,1
Super,movie,2010,6.7,"Action, Comedy, Crime",R,
Stuart Townsend,actor,,,,,1
Joseph Mazzello,actor,,,,,1
Jack Nicholson,actor,,,,,1
My Dog Skip,movie,2000,7.0,"Comedy, Drama, Family",PG,
The Air I Breathe,movie,2007,6.7,"Crime, Drama, Thriller",R,
Frankie Muniz,actor,,,,,1
Jeff Bridges,actor,,,,,1
Colin Blumenau,actor,,,,,1
Kiefer Sutherland,actor,,,,,1
Matt Dillon,actor,,,,,1
Jim Cummings,actor,,,,,1
Steve Guttenberg,actor,,,,,1
Diego Luna,actor,,,,,1
Vithaya Pansringarm,actor,,,,,1
John Goodman,actor,,,,,1
Rahul Patel,actor,,,,,1
Dennis Quaid,actor,,,,,1
James McAvoy,actor,,,,,1
Lori Singer,actor,,,,,1
Brad Pitt,actor,,,,,1
Tom Hanks,actor,,,,,1
Garrett Hedlund,actor,,,,,1
Brendan Fraser,actor,,,,,1
